OrderID,CustomerID,ProductID,ProductName,StoreID,DeliveryPartnerID,OrderDate,DeliveryDate,UnitPrice,Quantity,TotalPrice,DiscountApplied,DeliveryTimeMinutes,OrderStatus,PaymentMethodID,TimeOfDay
ORD00027,CUST0041,PROD124,Sleepy Owl Cold Brew Coffee,STORE046,DP013,24-09-2024 09:09,24-09-2024 09:31,120,1,120,33.05,22,Cancelled,PAY01,Morning
ORD00028,CUST0017,PROD110,Vim Dishwash Bar Lemon,STORE024,DP015,16-01-2024 05:46,16-01-2024 06:09,10,4,40,77.59,23,Cancelled,PAY04,Morning
ORD00029,CUST0017,PROD067,Nestle a+ Curd 400g,STORE003,DP005,10-11-2024 05:50,10-11-2024 06:14,42,10,420,73.02,24,Shipped,PAY05,Morning
ORD00030,CUST0006,PROD092,Britannia Good Day Butter Cookies,STORE016,DP013,20-12-2024 07:08,20-12-2024 07:33,20,1,20,12.63,25,Cancelled,PAY01,Morning
ORD00031,CUST0004,PROD010,Colgate MaxFresh Toothpaste 150g,STORE018,DP035,06-11-2024 07:57,06-11-2024 08:23,95,6,570,86.87,26,Delivered,PAY04,Morning
ORD00032,CUST0041,PROD130,Stayfree Secure XL Wings 20 pads,STORE004,DP042,01-04-2024 09:42,01-04-2024 10:09,90,10,900,47.66,27,Cancelled,PAY05,Morning
ORD00033,CUST0033,PROD059,Ariel Matic Top Load 1kg,STORE017,DP024,12-12-2024 02:18,12-12-2024 02:46,250,4,1000,62.62,28,Shipped,PAY05,Morning
ORD00034,CUST0018,PROD053,Top Ramen Masala Noodles,STORE019,DP031,04-10-2024 08:25,04-10-2024 08:54,12,7,84,12.93,29,Shipped,PAY05,Morning
ORD00035,CUST0026,PROD007,Lays India's Magic Masala 52g,STORE042,DP010,08-06-2024 05:58,08-06-2024 06:28,20,6,120,9.16,30,Delivered,PAY03,Morning
ORD00036,CUST0039,PROD126,L'Oreal Paris Total Repair 5 Shampoo,STORE023,DP037,25-04-2024 04:24,25-04-2024 04:34,165,4,660,95.28,10,Pending,PAY03,Morning
ORD00037,CUST0042,PROD131,Himalaya Purifying Neem Face Wash,STORE020,DP013,13-01-2024 08:36,13-01-2024 08:47,140,1,140,86.45,11,Pending,PAY01,Morning
ORD00038,CUST0035,PROD143,Imported Avocado 1pc,STORE034,DP044,26-07-2024 04:58,26-07-2024 05:10,250,3,750,78.29,12,Delivered,PAY05,Morning
ORD00039,CUST0032,PROD016,Amul Butter 500g,STORE002,DP046,21-08-2024 03:26,21-08-2024 03:39,275,7,1925,98.94,13,Pending,PAY04,Morning
ORD00040,CUST0047,PROD078,Pears Pure & Gentle Soap 125g,STORE002,DP037,14-11-2024 04:17,14-11-2024 04:31,70,4,280,38.37,14,Delivered,PAY04,Morning
ORD00041,CUST0032,PROD003,Nestle Maggi 2-Minute Noodles,STORE028,DP002,11-07-2024 06:41,11-07-2024 06:56,14,6,84,61.94,15,Pending,PAY05,Morning
ORD00042,CUST0031,PROD101,English Oven Brown Bread,STORE024,DP042,17-09-2024 00:44,17-09-2024 01:00,55,5,275,11.52,16,Cancelled,PAY02,Morning
ORD00043,CUST0034,PROD037,Good Knight Gold Flash Machine + Refill,STORE010,DP012,18-12-2024 04:15,18-12-2024 04:32,85,8,680,23.87,17,Delivered,PAY01,Morning
ORD00044,CUST0032,PROD053,Top Ramen Masala Noodles,STORE034,DP017,03-07-2024 04:48,03-07-2024 05:06,12,2,24,13.81,18,Delivered,PAY03,Morning
ORD00045,CUST0039,PROD026,Kurkure Masala Munch 90g,STORE032,DP008,18-04-2024 11:26,18-04-2024 11:45,20,10,200,47.59,19,Cancelled,PAY01,Morning
ORD00046,CUST0043,PROD127,Nivea Men Fresh Active Deodorant,STORE043,DP040,19-06-2024 00:16,19-06-2024 00:36,199,6,1194,13.02,20,Pending,PAY03,Morning
ORD00047,CUST0012,PROD077,Good Day Cashew Cookies,STORE013,DP038,20-05-2024 07:45,20-05-2024 08:06,40,6,240,38.15,21,Pending,PAY01,Morning
ORD00048,CUST0038,PROD109,Clinic Plus Strong & Long Shampoo 175ml,STORE016,DP022,31-05-2024 05:03,31-05-2024 05:25,99,8,792,74.41,22,Delivered,PAY03,Morning
ORD00049,CUST0023,PROD036,Harpic Powerplus Toilet Cleaner 1L,STORE028,DP038,18-11-2024 03:51,18-11-2024 04:14,185,10,1850,56.73,23,Shipped,PAY03,Morning
ORD00050,CUST0022,PROD125,Blue Tokai Coffee Roasters,STORE037,DP044,09-07-2024 09:52,09-07-2024 10:16,450,6,2700,3.64,24,Shipped,PAY02,Morning
ORD00051,CUST0048,PROD140,Lindt Excellence 90% Cocoa,STORE007,DP008,28-07-2024 06:06,28-07-2024 06:31,450,7,3150,16.08,25,Shipped,PAY05,Morning
ORD00052,CUST0002,PROD094,Red Bull Energy Drink 250ml,STORE015,DP002,29-10-2024 01:30,29-10-2024 01:56,125,1,125,41.14,26,Cancelled,PAY05,Morning
ORD00053,CUST0004,PROD118,Rajdhani Besan 1kg,STORE029,DP028,08-03-2024 05:32,08-03-2024 05:59,120,10,1200,14.86,27,Cancelled,PAY05,Morning
ORD00054,CUST0019,PROD087,Saffola Masala Oats Classic Masala,STORE036,DP004,07-03-2024 05:36,07-03-2024 06:04,160,4,640,78.66,28,Pending,PAY04,Morning
ORD00055,CUST0028,PROD075,Real Mixed Fruit Juice 1L,STORE008,DP005,02-01-2024 00:22,02-01-2024 00:51,135,5,675,22.87,29,Shipped,PAY03,Morning
ORD00056,CUST0040,PROD131,Himalaya Purifying Neem Face Wash,STORE024,DP018,10-09-2024 00:31,10-09-2024 01:01,140,3,420,97.66,30,Pending,PAY05,Morning
ORD00057,CUST0009,PROD023,Bru Instant Coffee 100g,STORE009,DP047,02-01-2024 04:11,02-01-2024 04:21,210,1,210,44.59,10,Delivered,PAY01,Morning
ORD00058,CUST0020,PROD079,Head & Shoulders Anti-Dandruff Shampoo,STORE006,DP040,29-03-2024 01:02,29-03-2024 01:13,195,6,1170,34.66,11,Cancelled,PAY01,Morning
ORD00059,CUST0013,PROD058,Sunfeast Dark Fantasy Choco Fills,STORE023,DP008,28-12-2024 07:12,28-12-2024 07:24,35,10,350,6.23,12,Shipped,PAY02,Morning
ORD00060,CUST0017,PROD050,Fresh Lemon 4pcs,STORE033,DP029,23-02-2024 07:56,23-02-2024 08:09,20,4,80,64.81,13,Delivered,PAY05,Morning
ORD00061,CUST0001,PROD012,Fresh Tomato 1kg,STORE038,DP037,27-06-2024 08:28,27-06-2024 08:42,35,9,315,96.56,14,Shipped,PAY05,Morning
ORD00062,CUST0035,PROD029,Cadbury Dairy Milk Silk 150g,STORE048,DP005,31-05-2024 09:06,31-05-2024 09:21,175,9,1575,88.48,15,Cancelled,PAY02,Morning
ORD00063,CUST0006,PROD064,Fresh Pomegranate 1kg,STORE019,DP040,14-07-2024 02:30,14-07-2024 02:46,220,2,440,55.44,16,Shipped,PAY03,Morning
ORD00064,CUST0037,PROD147,Comfort After Wash Fabric Conditioner,STORE002,DP030,26-11-2024 11:05,26-11-2024 11:22,220,1,220,61.9,17,Pending,PAY03,Morning
ORD00065,CUST0045,PROD149,Baygon All Insect Killer Spray,STORE041,DP044,30-05-2024 05:20,30-05-2024 05:38,130,5,650,92.31,18,Cancelled,PAY01,Morning
ORD00066,CUST0011,PROD017,Amul Cheese Slices 100g,STORE038,DP038,05-04-2024 11:17,05-04-2024 11:36,78,4,312,91.78,19,Delivered,PAY03,Morning
ORD00067,CUST0010,PROD133,Borges Olive Oil Extra Light 1L,STORE045,DP019,04-12-2024 03:14,04-12-2024 03:34,950,7,6650,33.09,20,Cancelled,PAY05,Morning
ORD00068,CUST0046,PROD072,Red Label Tea 500g,STORE029,DP050,17-08-2024 03:41,17-08-2024 04:02,270,8,2160,85.27,21,Pending,PAY04,Morning
ORD00069,CUST0040,PROD127,Nivea Men Fresh Active Deodorant,STORE004,DP001,23-11-2024 09:48,23-11-2024 10:10,199,3,597,44.24,22,Cancelled,PAY05,Morning
ORD00070,CUST0041,PROD122,The Whole Truth Protein Bar,STORE009,DP004,22-07-2024 02:28,22-07-2024 02:51,100,7,700,76.19,23,Pending,PAY04,Morning
ORD00071,CUST0046,PROD028,Tropicana 100% Orange Juice 1L,STORE014,DP034,01-11-2024 09:39,01-11-2024 10:03,140,4,560,92.72,24,Pending,PAY01,Morning
ORD00072,CUST0004,PROD019,iD Malabar Parota 350g,STORE010,DP015,22-10-2024 01:49,22-10-2024 02:14,85,10,850,55.67,25,Cancelled,PAY03,Morning
ORD00073,CUST0045,PROD020,Fortune Sunlite Refined Sunflower Oil 1L,STORE005,DP017,26-06-2024 00:05,26-06-2024 00:31,155,2,310,53.74,26,Shipped,PAY04,Morning
ORD00074,CUST0009,PROD114,Too Yumm Karare,STORE038,DP050,24-06-2024 08:35,24-06-2024 09:02,20,10,200,79.37,27,Pending,PAY05,Morning
ORD00075,CUST0024,PROD013,Fresh Potato 1kg,STORE040,DP046,22-09-2024 03:16,22-09-2024 03:44,30,2,60,30.68,28,Cancelled,PAY02,Morning
ORD00076,CUST0020,PROD058,Sunfeast Dark Fantasy Choco Fills,STORE023,DP011,26-05-2024 07:27,26-05-2024 07:56,35,2,70,70.73,29,Pending,PAY03,Morning
ORD00077,CUST0028,PROD029,Cadbury Dairy Milk Silk 150g,STORE006,DP033,23-05-2024 01:18,23-05-2024 01:48,175,4,700,6.49,30,Shipped,PAY01,Morning
ORD00078,CUST0011,PROD007,Lays India's Magic Masala 52g,STORE006,DP049,17-12-2024 06:02,17-12-2024 06:12,20,1,20,76.27,10,Shipped,PAY02,Morning
ORD00079,CUST0011,PROD143,Imported Avocado 1pc,STORE022,DP033,30-05-2024 02:42,30-05-2024 02:53,250,6,1500,99.72,11,Cancelled,PAY02,Morning
ORD00080,CUST0036,PROD069,Daawat Basmati Rice Rozana Gold 1kg,STORE014,DP039,21-04-2024 11:48,21-04-2024 12:00,150,1,150,69.81,12,Cancelled,PAY02,Morning
ORD00081,CUST0009,PROD088,MamyPoko Pants Diapers L-size 44,STORE015,DP019,24-12-2024 05:38,24-12-2024 05:51,750,10,7500,52.15,13,Cancelled,PAY05,Morning
ORD00082,CUST0042,PROD119,Organic Tattva Brown Rice 1kg,STORE033,DP031,10-07-2024 01:58,10-07-2024 02:12,150,7,1050,57.42,14,Cancelled,PAY01,Morning
ORD00083,CUST0021,PROD011,Fresh Onion 1kg,STORE050,DP022,06-09-2024 11:39,06-09-2024 11:54,45,6,270,5.78,15,Shipped,PAY02,Morning
ORD00084,CUST0019,PROD045,Pedigree Adult Dog Food Chicken & Veg 3kg,STORE004,DP022,08-11-2024 08:05,08-11-2024 08:21,740,4,2960,10.41,16,Pending,PAY05,Morning
ORD00085,CUST0017,PROD118,Rajdhani Besan 1kg,STORE018,DP044,28-11-2024 04:00,28-11-2024 04:17,120,9,1080,66.6,17,Delivered,PAY04,Morning
ORD00086,CUST0035,PROD035,Lizol Floor Cleaner Citrus 975ml,STORE017,DP037,13-03-2024 11:36,13-03-2024 11:54,193,1,193,18.01,18,Pending,PAY05,Morning
ORD00087,CUST0039,PROD102,Patanjali Dant Kanti Toothpaste 100g,STORE039,DP015,15-06-2024 08:01,15-06-2024 08:20,50,3,150,74.19,19,Pending,PAY01,Morning
ORD00088,CUST0023,PROD055,Pillsbury Chakki Fresh Atta 5kg,STORE025,DP017,11-01-2024 00:45,11-01-2024 01:05,280,1,280,46.87,20,Delivered,PAY01,Morning
ORD00089,CUST0029,PROD113,Act II Popcorn Butter Lovers,STORE017,DP043,29-10-2024 04:12,29-10-2024 04:33,30,5,150,21.89,21,Cancelled,PAY05,Morning
ORD00090,CUST0010,PROD099,Fresh Guava 1kg,STORE026,DP004,25-11-2024 08:06,25-11-2024 08:28,80,6,480,43.07,22,Shipped,PAY05,Morning
ORD00091,CUST0001,PROD075,Real Mixed Fruit Juice 1L,STORE013,DP050,06-08-2024 11:22,06-08-2024 11:45,135,6,810,11.68,23,Cancelled,PAY01,Morning
ORD00092,CUST0048,PROD052,Britannia Brown Bread,STORE020,DP020,18-07-2024 04:12,18-07-2024 04:36,50,5,250,23.76,24,Cancelled,PAY02,Morning
ORD00093,CUST0002,PROD026,Kurkure Masala Munch 90g,STORE004,DP022,09-07-2024 09:51,09-07-2024 10:16,20,2,40,80.27,25,Shipped,PAY03,Morning
ORD00094,CUST0037,PROD075,Real Mixed Fruit Juice 1L,STORE033,DP025,26-06-2024 08:38,26-06-2024 09:04,135,2,270,32.36,26,Pending,PAY01,Morning
ORD00095,CUST0002,PROD121,Epigamia Greek Yogurt Strawberry,STORE025,DP014,23-10-2024 02:27,23-10-2024 02:54,45,2,90,99.4,27,Cancelled,PAY02,Morning
ORD00096,CUST0032,PROD131,Himalaya Purifying Neem Face Wash,STORE038,DP020,21-07-2024 03:51,21-07-2024 04:19,140,3,420,96.27,28,Delivered,PAY04,Morning
ORD00097,CUST0026,PROD100,Amul Gold Full Cream Milk 500ml,STORE012,DP039,25-01-2024 10:53,25-01-2024 11:22,33,2,66,98.99,29,Delivered,PAY03,Morning
ORD00098,CUST0005,PROD150,Duracell Ultra AA Batteries 4-pack,STORE033,DP037,13-10-2024 06:57,13-10-2024 07:27,180,6,1080,94.46,30,Pending,PAY02,Morning
ORD00099,CUST0024,PROD122,The Whole Truth Protein Bar,STORE029,DP024,10-09-2024 07:15,10-09-2024 07:25,100,2,200,90.33,10,Shipped,PAY04,Morning
ORD00100,CUST0020,PROD062,Fresh Cauliflower 1pc,STORE021,DP004,28-04-2024 02:13,28-04-2024 02:24,40,6,240,45.34,11,Delivered,PAY02,Morning
ORD01001,CUST0045,PROD058,Sunfeast Dark Fantasy Choco Fills,STORE005,DP036,21-10-2024 11:55,21-10-2024 12:07,35,3,105,314.12,12,Pending,PAY02,Morning
ORD01002,CUST0017,PROD125,Blue Tokai Coffee Roasters,STORE011,DP050,11-05-2024 09:59,11-05-2024 10:12,450,4,1800,102.98,13,Pending,PAY03,Morning
ORD01003,CUST0006,PROD150,Duracell Ultra AA Batteries 4-pack,STORE018,DP037,06-05-2025 15:24,06-05-2025 15:38,180,4,720,88.8,14,Returned,PAY01,Afternoon
ORD01004,CUST0044,PROD082,Dettol Antiseptic Liquid 250ml,STORE025,DP003,07-09-2024 20:43,07-09-2024 20:58,110,10,1100,640.85,15,Cancelled,PAY05,Evening
ORD01006,CUST0024,PROD125,Blue Tokai Coffee Roasters,STORE017,DP039,05-03-2025 10:42,05-03-2025 10:59,450,4,1800,252.61,17,Delivered,PAY03,Morning
ORD01007,CUST0040,PROD125,Blue Tokai Coffee Roasters,STORE008,DP007,03-05-2025 18:50,03-05-2025 19:08,450,2,900,31,18,Shipped,PAY01,Evening
ORD01008,CUST0039,PROD102,Patanjali Dant Kanti Toothpaste 100g,STORE018,DP003,24-10-2024 19:38,24-10-2024 19:57,50,5,250,117.68,19,Pending,PAY01,Evening
ORD01011,CUST0025,PROD014,Fresh Banana Robusta 1kg,STORE019,DP011,25-08-2024 10:23,25-08-2024 10:45,50,5,250,13.4,22,Returned,PAY04,Morning
ORD01012,CUST0002,PROD098,Fresh Cucumber 500g,STORE035,DP041,24-02-2025 13:01,24-02-2025 13:24,25,10,250,90.71,23,Delivered,PAY03,Afternoon
ORD01013,CUST0042,PROD024,Taj Mahal Tea 250g,STORE041,DP009,28-04-2025 16:31,28-04-2025 16:55,165,3,495,100.67,24,Cancelled,PAY01,Afternoon
ORD01015,CUST0018,PROD109,Clinic Plus Strong & Long Shampoo 175ml,STORE047,DP040,17-08-2024 08:23,17-08-2024 08:49,99,5,495,46.25,26,Cancelled,PAY05,Morning
ORD01016,CUST0034,PROD088,MamyPoko Pants Diapers L-size 44,STORE035,DP014,20-11-2024 16:35,20-11-2024 17:02,750,7,5250,544.3,27,Shipped,PAY04,Afternoon
ORD01023,CUST0002,PROD116,Weikfield Baking Powder 100g,STORE049,DP026,07-06-2025 15:58,07-06-2025 16:11,40,5,200,475.19,13,Returned,PAY02,Afternoon
ORD01025,CUST0038,PROD080,Close Up Everfresh Toothpaste 150g,STORE020,DP020,23-02-2024 12:53,23-02-2024 13:08,85,5,425,215.55,15,Cancelled,PAY02,Afternoon
ORD01027,CUST0015,PROD002,Britannia Milk Bread,STORE029,DP010,11-05-2025 15:12,11-05-2025 15:29,45,2,90,64.62,17,Pending,PAY03,Afternoon
ORD01028,CUST0046,PROD022,Tata Sampann Toor Dal 1kg,STORE007,DP020,09-06-2025 10:59,09-06-2025 11:27,160,1,160,115.84,28,Shipped,PAY03,Morning
ORD01030,CUST0011,PROD027,Sprite 750ml PET Bottle,STORE020,DP015,10-05-2024 14:24,10-05-2024 14:54,40,3,120,63.37,30,Cancelled,PAY01,Afternoon
ORD01031,CUST0032,PROD108,Santoor Sandal & Turmeric Soap 125g,STORE004,DP008,09-03-2024 20:30,09-03-2024 20:40,40,9,360,677.31,10,Pending,PAY01,Evening
ORD01033,CUST0045,PROD052,Britannia Brown Bread,STORE041,DP022,15-04-2024 20:00,15-04-2024 20:12,50,6,300,42.73,12,Pending,PAY01,Evening
ORD01034,CUST0020,PROD078,Pears Pure & Gentle Soap 125g,STORE033,DP008,13-03-2024 15:47,13-03-2024 16:00,70,7,490,328.41,13,Cancelled,PAY04,Afternoon
ORD01035,CUST0006,PROD020,Fortune Sunlite Refined Sunflower Oil 1L,STORE041,DP008,28-04-2024 11:54,28-04-2024 12:08,155,2,310,87.85,14,Shipped,PAY04,Morning
ORD01036,CUST0027,PROD140,Lindt Excellence 90% Cocoa,STORE030,DP005,28-04-2025 12:32,28-04-2025 12:47,450,8,3600,323.56,15,Pending,PAY01,Afternoon
ORD01037,CUST0036,PROD137,Ching's Secret Schezwan Chutney,STORE042,DP050,25-01-2024 10:12,25-01-2024 10:28,85,9,765,446.95,16,Returned,PAY03,Morning
ORD01038,CUST0021,PROD008,Parle-G Gold Biscuits 1kg,STORE001,DP038,22-10-2024 09:30,22-10-2024 09:47,110,3,330,32.12,17,Pending,PAY05,Morning
ORD01042,CUST0043,PROD090,Fresh Green Chilli 100g,STORE029,DP046,02-12-2024 10:03,02-12-2024 10:24,10,3,30,217.8,21,Returned,PAY05,Morning
ORD01043,CUST0027,PROD103,Parachute Coconut Oil 500ml,STORE006,DP024,22-03-2025 16:23,22-03-2025 16:45,215,4,860,234.79,22,Delivered,PAY03,Afternoon
ORD01044,CUST0025,PROD034,Vim Dishwash Liquid Gel 500ml,STORE015,DP023,05-06-2024 19:55,05-06-2024 20:18,105,8,840,412.93,23,Shipped,PAY01,Evening
ORD01045,CUST0037,PROD075,Real Mixed Fruit Juice 1L,STORE007,DP032,13-02-2024 10:38,13-02-2024 11:02,135,3,405,60.12,24,Delivered,PAY01,Morning
ORD01046,CUST0049,PROD107,Rin Detergent Bar 250g,STORE040,DP036,16-05-2025 11:22,16-05-2025 11:47,20,7,140,431.75,25,Cancelled,PAY04,Morning
ORD01047,CUST0043,PROD129,Veet Hair Removal Cream,STORE004,DP017,13-11-2024 15:23,13-11-2024 15:49,80,9,720,90.38,26,Pending,PAY03,Afternoon
ORD01049,CUST0007,PROD020,Fortune Sunlite Refined Sunflower Oil 1L,STORE049,DP009,05-01-2025 11:43,05-01-2025 12:11,155,6,930,126.5,28,Shipped,PAY05,Morning
ORD01050,CUST0037,PROD037,Good Knight Gold Flash Machine + Refill,STORE039,DP050,14-02-2025 07:41,14-02-2025 08:10,85,7,595,210.29,29,Cancelled,PAY04,Morning
ORD01051,CUST0019,PROD069,Daawat Basmati Rice Rozana Gold 1kg,STORE009,DP019,15-02-2025 14:13,15-02-2025 14:43,150,6,900,118.7,30,Cancelled,PAY05,Afternoon
ORD01052,CUST0002,PROD043,Quaker Oats 1kg,STORE027,DP028,22-04-2025 08:29,22-04-2025 08:39,199,7,1393,507.05,10,Cancelled,PAY04,Morning
ORD01054,CUST0049,PROD099,Fresh Guava 1kg,STORE018,DP033,26-01-2024 19:31,26-01-2024 19:43,80,6,480,354.9,12,Delivered,PAY04,Evening
ORD01055,CUST0016,PROD001,Amul Taaza Toned Milk 500ml,STORE039,DP004,02-03-2024 12:45,02-03-2024 12:58,27,9,243,639.06,13,Cancelled,PAY03,Afternoon
ORD01056,CUST0004,PROD130,Stayfree Secure XL Wings 20 pads,STORE002,DP034,30-07-2024 09:26,30-07-2024 09:40,90,3,270,77.46,14,Pending,PAY02,Morning
ORD01057,CUST0037,PROD101,English Oven Brown Bread,STORE016,DP020,30-01-2024 11:11,30-01-2024 11:26,55,4,220,57.72,15,Pending,PAY01,Morning
ORD01058,CUST0045,PROD116,Weikfield Baking Powder 100g,STORE002,DP030,28-04-2024 10:16,28-04-2024 10:32,40,7,280,492.42,16,Pending,PAY02,Morning
ORD01059,CUST0020,PROD009,Surf Excel Easy Wash 1kg,STORE042,DP006,09-09-2024 15:35,09-09-2024 15:52,135,1,135,30.82,17,Cancelled,PAY01,Afternoon
ORD01060,CUST0016,PROD084,ITC Master Chef Frozen Peas 500g,STORE042,DP008,27-03-2024 15:56,27-03-2024 16:14,125,1,125,48.87,18,Delivered,PAY03,Afternoon
ORD01061,CUST0039,PROD023,Bru Instant Coffee 100g,STORE026,DP034,06-06-2025 18:18,06-06-2025 18:37,210,4,840,177.37,19,Shipped,PAY01,Evening
ORD01062,CUST0013,PROD025,Haldirams Aloo Bhujia 200g,STORE004,DP010,24-03-2024 14:32,24-03-2024 14:52,55,10,550,772.66,20,Returned,PAY03,Afternoon
ORD01063,CUST0025,PROD085,Maggi Hot & Sweet Ketchup,STORE040,DP032,30-06-2024 18:21,30-06-2024 18:42,125,9,1125,2.74,21,Returned,PAY04,Evening
ORD01064,CUST0023,PROD082,Dettol Antiseptic Liquid 250ml,STORE031,DP001,27-02-2025 11:19,27-02-2025 11:41,110,3,330,68.86,22,Shipped,PAY02,Morning
ORD01067,CUST0023,PROD024,Taj Mahal Tea 250g,STORE036,DP041,05-12-2024 19:13,05-12-2024 19:38,165,1,165,54.85,25,Shipped,PAY02,Evening
ORD01068,CUST0038,PROD049,Fresh Garlic 100g,STORE016,DP026,16-10-2024 18:42,16-10-2024 19:08,30,4,120,48.18,26,Returned,PAY04,Evening
ORD01069,CUST0036,PROD099,Fresh Guava 1kg,STORE038,DP024,20-01-2025 17:50,20-01-2025 18:17,80,8,640,1072.06,27,Pending,PAY05,Evening
ORD01070,CUST0037,PROD017,Amul Cheese Slices 100g,STORE046,DP002,22-11-2024 20:15,22-11-2024 20:43,78,5,390,479.97,28,Delivered,PAY03,Evening
ORD01071,CUST0027,PROD117,Tata Sampann Besan 500g,STORE002,DP015,12-03-2025 20:16,12-03-2025 20:45,65,9,585,542.17,29,Pending,PAY02,Evening
ORD01072,CUST0041,PROD107,Rin Detergent Bar 250g,STORE030,DP011,30-07-2024 17:49,30-07-2024 18:19,20,3,60,21.15,30,Returned,PAY01,Evening
